series,thumb,index,middle,ring,pinky,class_label
1,143,29,28,29,-8,1
1,144,29,28,28,-8,1
1,147,29,28,28,-8,1
1,143,28,28,28,-8,1
1,143,28,27,28,-8,1
1,150,28,27,28,-8,1
1,138,28,28,28,-8,1
1,141,27,27,28,-8,1
2,141,28,28,29,-8,1
2,144,28,28,29,-8,1
2,144,28,28,28,-8,1
2,143,28,28,28,-8,1
3,142,28,28,28,-8,1
3,143,28,28,28,-8,1
3,143,28,28,28,-8,1
3,144,28,27,28,-8,1
3,141,28,27,28,-8,1
3,141,28,28,28,-8,1
4,144,28,28,28,-8,1
4,140,28,28,28,-7,1
4,141,28,27,28,-7,1
4,143,28,27,29,-8,1
4,143,28,29,28,-8,1
4,141,28,28,28,-8,1
4,142,28,27,28,-8,1
4,144,27,27,29,-8,1
5,143,28,56,28,-8,2
5,143,28,55,28,-8,2
5,140,29,55,28,-8,2
5,143,28,55,28,-8,2
5,143,29,54,28,-8,2
5,140,29,54,28,-8,2
6,140,28,54,28,-8,2
6,142,29,53,28,-8,2
6,139,28,53,29,-8,2
6,142,28,52,28,-8,2
6,139,29,51,28,-8,2
6,140,28,52,28,-8,2
6,145,29,52,28,-8,2
6,144,29,51,29,-8,2
6,143,30,51,28,-8,2
7,143,30,47,28,-8,2
7,141,30,51,28,-8,2
7,143,30,49,28,-8,2
7,143,30,48,28,-8,2
7,142,30,48,28,-8,2
7,141,30,27,28,-8,2
7,143,30,26,28,-8,2
8,144,65,26,27,-8,3
8,142,63,26,27,-8,3
8,141,63,26,27,-8,3
8,141,63,26,27,-8,3
8,143,62,26,27,-8,3
8,141,61,27,27,-8,3
8,141,61,26,27,-8,3
8,140,61,26,27,-8,3
8,140,60,27,27,-8,3
8,143,27,27,27,-8,3
9,142,60,27,27,-8,3
9,141,57,27,27,-8,3
9,145,56,28,27,-8,3
9,143,55,27,27,-8,3
9,142,54,27,27,-8,3
9,144,28,27,27,-8,3
9,142,27,27,27,-8,3
10,144,58,27,27,-8,3
10,145,55,27,27,-8,3
10,144,56,26,27,-8,3
10,141,55,26,27,-8,3
10,142,54,26,26,-8,3
10,141,55,27,27,-8,3
10,145,55,27,27,-8,3
10,144,52,27,27,-8,3
11,141,30,28,57,-8,4
11,143,30,28,57,-8,4
11,143,30,28,56,-8,4
11,144,30,28,56,-8,4
11,141,30,28,55,-8,4
11,140,30,28,29,-8,4
12,141,30,28,58,-8,4
12,141,30,29,55,-8,4
12,143,30,29,53,-8,4
12,144,30,28,53,-8,4
12,143,30,28,52,-8,4
12,139,30,28,52,-8,4
12,140,30,28,52,-8,4
12,142,30,29,51,-8,4
12,145,29,29,33,-8,4
13,143,31,30,57,-8,4
13,142,31,30,55,-8,4
13,144,31,30,54,-8,4
13,143,30,30,53,-8,4
13,143,30,29,53,-8,4
13,143,30,29,53,-8,4
13,141,30,30,46,-8,4
13,140,30,27,28,-8,4
14,140,30,29,57,-8,4
14,140,30,29,53,-8,4
14,140,30,29,52,-8,4
14,143,30,29,52,-8,4
14,140,30,29,51,-8,4
14,144,30,29,51,-8,4
14,145,29,27,28,-8,4
14,142,29,27,28,-8,4















